4/9/16,"יום ראשון א' אלול תשע""ו"
11/9/16,"יום ראשון ח' אלול תשע""ו"
18/9/16,"יום ראשון ט""ו אלול תשע""ו"
25/9/16,"יום ראשון כ""ב אלול תשע""ו"
9/10/16,"יום ראשון ז' תשרי תשע""ז"
30/10/16,"יום ראשון כ""ח תשרי תשע""ז"
6/11/16,"יום ראשון ה' חשון תשע""ז"
13/11/16,"יום ראשון י""ב חשון תשע""ז"
20/11/16,"יום ראשון י""ט חשון תשע""ז"
27/11/16,"יום ראשון כ""ו חשון תשע""ז"
4/12/16,"יום ראשון ד' כסלו תשע""ז"
11/12/16,"יום ראשון י""א כסלו תשע""ז"
18/12/16,"יום ראשון י""ח כסלו תשע""ז"
1/1/17,"יום ראשון ג' טבת תשע""ז"
8/1/17,"יום ראשון י' טבת תשע""ז"
22/1/17,"יום ראשון כ""ד טבת תשע""ז"
29/1/17,"יום ראשון ב' שבט תשע""ז"
5/2/17,"יום ראשון ט' שבט תשע""ז"
12/2/17,"יום ראשון ט""ז שבט תשע""ז"
19/2/17,"יום ראשון כ""ג שבט תשע""ז"
26/2/17,"יום ראשון ל' שבט תשע""ז"
5/3/17,"יום ראשון ז' אדר תשע""ז"
12/3/17,"יום ראשון י""ד אדר תשע""ז"
26/3/17,"יום ראשון כ""ח אדר תשע""ז"
