1/9/16,"יום חמישי כ""ח אב תשע""ו"
4/9/16,"יום ראשון א' אלול תשע""ו"
8/9/16,"יום חמישי ה' אלול תשע""ו"
11/9/16,"יום ראשון ח' אלול תשע""ו"
15/9/16,"יום חמישי י""ב אלול תשע""ו"
18/9/16,"יום ראשון ט""ו אלול תשע""ו"
22/9/16,"יום חמישי י""ט אלול תשע""ו"
25/9/16,"יום ראשון כ""ב אלול תשע""ו"
29/9/16,"יום חמישי כ""ו אלול תשע""ו"
6/10/16,"יום חמישי ד' תשרי תשע""ז"
9/10/16,"יום ראשון ז' תשרי תשע""ז"
13/10/16,"יום חמישי י""א תשרי תשע""ז"
27/10/16,"יום חמישי כ""ה תשרי תשע""ז"
30/10/16,"יום ראשון כ""ח תשרי תשע""ז"
3/11/16,"יום חמישי ב' חשון תשע""ז"
6/11/16,"יום ראשון ה' חשון תשע""ז"
10/11/16,"יום חמישי ט' חשון תשע""ז"
13/11/16,"יום ראשון י""ב חשון תשע""ז"
17/11/16,"יום חמישי ט""ז חשון תשע""ז"
20/11/16,"יום ראשון י""ט חשון תשע""ז"
24/11/16,"יום חמישי כ""ג חשון תשע""ז"
27/11/16,"יום ראשון כ""ו חשון תשע""ז"
1/12/16,"יום חמישי א' כסלו תשע""ז"
4/12/16,"יום ראשון ד' כסלו תשע""ז"
8/12/16,"יום חמישי ח' כסלו תשע""ז"
11/12/16,"יום ראשון י""א כסלו תשע""ז"
15/12/16,"יום חמישי ט""ו כסלו תשע""ז"
18/12/16,"יום ראשון י""ח כסלו תשע""ז"
22/12/16,"יום חמישי כ""ב כסלו תשע""ז"
1/1/17,"יום ראשון ג' טבת תשע""ז"
5/1/17,"יום חמישי ז' טבת תשע""ז"
12/1/17,"יום חמישי י""ד טבת תשע""ז"
15/1/17,"יום ראשון י""ז טבת תשע""ז"
19/1/17,"יום חמישי כ""א טבת תשע""ז"
22/1/17,"יום ראשון כ""ד טבת תשע""ז"
26/1/17,"יום חמישי כ""ח טבת תשע""ז"
29/1/17,"יום ראשון ב' שבט תשע""ז"
2/2/17,"יום חמישי ו' שבט תשע""ז"
5/2/17,"יום ראשון ט' שבט תשע""ז"
9/2/17,"יום חמישי י""ג שבט תשע""ז"
12/2/17,"יום ראשון ט""ז שבט תשע""ז"
16/2/17,"יום חמישי כ' שבט תשע""ז"
19/2/17,"יום ראשון כ""ג שבט תשע""ז"
23/2/17,"יום חמישי כ""ז שבט תשע""ז"
26/2/17,"יום ראשון ל' שבט תשע""ז"
2/3/17,"יום חמישי ד' אדר תשע""ז"
5/3/17,"יום ראשון ז' אדר תשע""ז"
16/3/17,"יום חמישי י""ח אדר תשע""ז"
19/3/17,"יום ראשון כ""א אדר תשע""ז"
23/3/17,"יום חמישי כ""ה אדר תשע""ז"
26/3/17,"יום ראשון כ""ח אדר תשע""ז"
30/3/17,"יום חמישי ג' ניסן תשע""ז"
